"","WBIC","Area","site_id","gdd10","gdd5","gdd0","peak_temp","coef_var.0.30","coef_var.30.60"
"1",5200,115017.4492,NA,1958.85935489352,2969.84045476984,4280.79620495849,30.4547748204898,0.383564576022386,0.18462399727203
"2",5900,57313.84364,NA,2002.03825246407,3053.6401816005,4413.81189403637,29.2698226784063,0.383671400340732,0.180691462403202
"3",7100,51328.65915,NA,2090.18763979553,3107.05800355808,4412.98416185981,32.6025364239645,0.400043506475997,0.208239911177522
"4",7300,66622.3546,NA,1966.60781267087,2975.72916356976,4284.92699615596,30.7780074449615,0.388999739667371,0.188938039674969
"5",7500,51247.01212,NA,1995.05022057695,3041.5931312883,4399.79945480172,29.2639425236862,0.383474350964094,0.180622252986627
"6",8000,87955.55459,NA,1953.90498820224,2973.16267749878,4307.22162945667,29.8324967025877,0.391033905182492,0.184002014116817
"7",8300,53584.12327,NA,1779.58610839649,2747.73195416439,4016.6257402063,31.7130581781489,0.403453576940652,0.218481521967132
"8",8400,36760.8151,NA,1798.25909012021,2771.27828926921,4060.25303374617,29.9159857757747,0.386299472475874,0.194844351047783
"9",8900,204752.758,NA,1777.40793881069,2785.23687864116,4111.02441997966,27.8343723174677,0.362225681886704,0.176876750574498
"10",9500,67340.07903,NA,1901.92113631889,2936.88446394644,4295.4136287991,28.6054958153281,0.371042202949334,0.176386351522079
"11",9600,83266.81968,NA,1917.51552510297,2909.26640542699,4200.41612120541,32.6729718156274,0.382513010857085,0.193690884994076
"12",10200,81535.26337,NA,1734.78831108283,2698.04939421665,3962.88521850562,31.2764917496076,0.399455860757535,0.219797623906034
"13",11900,42449.16582,NA,1848.51728288646,2803.48163784551,4043.17262544667,31.8703584236859,0.407516943423877,0.240959132682113
"14",12000,123208.0912,NA,1679.44588548512,2632.1244480407,3881.92272460182,30.5297963969964,0.402145591417582,0.222862322218838
"15",12500,51754.04336,NA,1839.92172971203,2823.36889881526,4111.26948472603,32.7181978858561,0.408459443372178,0.217782906975448
"16",12600,50879.68115,NA,1921.27972202872,2929.30570513819,4254.55991306276,29.6671506026158,0.379585517256257,0.185990604189268
"17",13500,139436.5403,NA,1932.24591926888,2891.86852496448,4123.73976302451,32.5215831972651,0.406974485174618,0.240642309202178
"18",14400,39889.02955,NA,2014.79436519853,3035.70136074605,4360.20600478426,33.3632835345258,0.419262479989887,0.220944859895292
